,loan_amnt,term,int_rate,home_ownership,annual_inc,purpose,addr_state,bad_loan
473,35000,36 months,7.29,MORTGAGE,300000.0,home_improvement,CA,0
482,35000,36 months,7.29,RENT,250000.0,home_improvement,CO,0
227,35000,36 months,7.49,MORTGAGE,96000.0,debt_consolidation,TX,0
269,35000,36 months,7.49,MORTGAGE,150000.0,debt_consolidation,CA,1
423,35000,36 months,7.49,MORTGAGE,94400.0,debt_consolidation,MO,0
317,35000,36 months,7.49,RENT,162500.0,small_business,CT,0
254,35000,36 months,7.49,MORTGAGE,104000.0,other,CA,0
478,35000,36 months,7.66,MORTGAGE,160000.0,home_improvement,NJ,0
2630,35000,36 months,7.89,MORTGAGE,102000.0,credit_card,CA,0
2609,35000,36 months,7.89,MORTGAGE,122000.0,major_purchase,NC,0
2228,35000,36 months,7.9,MORTGAGE,145000.0,debt_consolidation,VA,0
78,35000,36 months,7.9,MORTGAGE,70000.0,debt_consolidation,MI,0
2279,35000,36 months,7.9,MORTGAGE,210000.0,debt_consolidation,CA,0
2124,35000,36 months,7.9,MORTGAGE,102000.0,debt_consolidation,CA,0
72,35000,36 months,7.9,RENT,95000.0,credit_card,AZ,0
207,35000,36 months,7.9,MORTGAGE,85000.0,debt_consolidation,OK,0
2321,35000,36 months,7.9,RENT,140000.0,wedding,CA,0
2437,35000,36 months,7.9,MORTGAGE,100000.0,credit_card,VA,0
177,35000,36 months,7.9,RENT,115000.0,credit_card,CT,0
66,35000,36 months,7.9,MORTGAGE,95000.0,house,CA,0
22,35000,36 months,7.9,MORTGAGE,264000.0,home_improvement,FL,0
2409,35000,36 months,7.9,MORTGAGE,150000.0,debt_consolidation,CA,0
63,35000,36 months,7.9,MORTGAGE,125000.0,debt_consolidation,MO,0
2391,35000,36 months,7.9,MORTGAGE,145000.0,home_improvement,TX,0
2548,35000,36 months,7.9,MORTGAGE,95000.0,small_business,NV,0
58,35000,36 months,7.9,MORTGAGE,408000.0,home_improvement,CA,0
2510,35000,36 months,7.9,MORTGAGE,90000.0,debt_consolidation,OR,0
2400,35000,36 months,7.9,MORTGAGE,90000.0,debt_consolidation,TX,0
2543,35000,36 months,7.9,MORTGAGE,86156.2,debt_consolidation,CA,0
108,35000,36 months,7.9,MORTGAGE,95000.0,debt_consolidation,CT,0
2222,35000,36 months,7.9,OWN,112000.0,major_purchase,NC,0
126,35000,36 months,7.9,MORTGAGE,185232.0,home_improvement,TX,0
136,35000,36 months,7.9,MORTGAGE,102000.0,debt_consolidation,VT,0
140,35000,36 months,7.9,MORTGAGE,240000.0,debt_consolidation,TX,0
40,35000,36 months,7.9,MORTGAGE,96000.0,home_improvement,AK,0
143,35000,36 months,7.9,MORTGAGE,118400.0,credit_card,CO,0
61,35000,36 months,7.9,RENT,120000.0,other,MA,0
2641,35000,36 months,8.18,MORTGAGE,137848.0,credit_card,IL,0
320,35000,36 months,8.49,MORTGAGE,93600.0,major_purchase,WA,0
244,35000,36 months,8.49,OWN,108000.0,small_business,CO,0
346,35000,36 months,8.49,RENT,77100.0,small_business,NY,0
257,35000,36 months,8.49,MORTGAGE,122880.0,debt_consolidation,NJ,0
2249,35000,36 months,8.9,MORTGAGE,150000.0,credit_card,MI,0
2312,35000,36 months,8.9,MORTGAGE,157200.0,home_improvement,CA,0
141,35000,36 months,8.9,RENT,156000.0,major_purchase,VA,0
2319,35000,36 months,8.9,RENT,125000.0,debt_consolidation,CA,0
24,35000,36 months,8.9,MORTGAGE,120000.0,debt_consolidation,OH,0
139,35000,36 months,8.9,RENT,83000.0,debt_consolidation,NY,0
2201,35000,36 months,8.9,RENT,110000.0,debt_consolidation,CT,0
120,35000,36 months,8.9,RENT,80000.0,house,GA,0
193,35000,36 months,8.9,MORTGAGE,151000.0,debt_consolidation,HI,0
2196,35000,36 months,8.9,MORTGAGE,150000.0,debt_consolidation,NH,0
179,35000,36 months,8.9,MORTGAGE,144000.0,debt_consolidation,MD,0
74,35000,36 months,8.9,RENT,70500.0,debt_consolidation,WA,0
2578,35000,36 months,8.9,MORTGAGE,91000.0,credit_card,WI,1
20,35000,36 months,8.9,MORTGAGE,84500.0,debt_consolidation,FL,0
2308,35000,36 months,8.9,MORTGAGE,140000.0,small_business,MI,0
785,35000,36 months,8.9,OWN,140000.0,debt_consolidation,VA,0
160,35000,36 months,8.9,MORTGAGE,128000.0,debt_consolidation,MI,0
198,35000,36 months,8.9,OWN,90000.0,debt_consolidation,NY,0
57,35000,36 months,8.9,OWN,277000.0,other,VA,0
8,35000,36 months,8.9,MORTGAGE,106000.0,credit_card,CO,0
14,35000,36 months,8.9,MORTGAGE,114054.0,debt_consolidation,VA,0
2480,35000,36 months,8.9,MORTGAGE,140000.0,debt_consolidation,NY,0
158,35000,36 months,8.9,MORTGAGE,144000.0,other,NY,0
2355,35000,36 months,8.9,MORTGAGE,125000.0,home_improvement,MA,0
4,35000,36 months,8.9,RENT,85000.0,debt_consolidation,IL,0
1,35000,36 months,8.9,MORTGAGE,125000.0,debt_consolidation,CA,0
2422,35000,36 months,8.9,MORTGAGE,160000.0,credit_card,TX,0
2162,35000,36 months,8.9,MORTGAGE,80000.0,debt_consolidation,FL,0
165,35000,36 months,8.9,RENT,230000.0,house,CO,0
2428,35000,36 months,8.9,MORTGAGE,130000.0,debt_consolidation,TX,0
848,35000,36 months,8.9,OWN,115000.0,debt_consolidation,MI,0
2688,35000,36 months,9.49,MORTGAGE,112320.0,debt_consolidation,GA,0
471,35000,36 months,9.63,MORTGAGE,95000.0,small_business,CA,0
435,35000,36 months,9.63,MORTGAGE,107000.0,debt_consolidation,WA,0
480,35000,36 months,9.63,MORTGAGE,275000.0,home_improvement,NH,0
758,35000,36 months,9.67,MORTGAGE,100000.0,credit_card,UT,0
668,35000,36 months,9.67,MORTGAGE,128000.0,credit_card,VA,0
676,35000,36 months,9.67,RENT,140000.0,major_purchase,CA,0
548,35000,36 months,9.67,MORTGAGE,85000.0,debt_consolidation,NJ,0
2595,35000,36 months,9.67,MORTGAGE,110000.0,home_improvement,VA,0
803,35000,36 months,9.67,MORTGAGE,100000.0,credit_card,TX,0
793,35000,36 months,9.67,RENT,115000.0,debt_consolidation,AL,0
597,35000,36 months,9.67,MORTGAGE,180000.0,credit_card,KS,0
48,35000,36 months,9.91,OWN,73440.0,debt_consolidation,OK,0
248,35000,36 months,9.99,MORTGAGE,300000.0,house,MI,0
222,35000,36 months,9.99,MORTGAGE,130000.0,debt_consolidation,CA,0
2621,35000,60 months,9.99,MORTGAGE,450000.0,major_purchase,VA,0
